[Tue 05/23/17 16:31:44 <Sonlight> ] Item Error: Item appears to be in log already (Jewel, Database Error[4])
[Fri 06/02/17 10:10:11 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 06/02/17 10:27:52 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Fri 06/02/17 23:44:19 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Sat 06/03/17 04:32:22 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Sat 06/03/17 04:32:23 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Sat 06/03/17 13:49:27 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Sun 06/04/17 19:10:07 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Sun 06/04/17 22:02:48 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Sun 06/04/17 22:15:47 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Mon 06/05/17 01:56:02 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 06/16/17 03:56:05 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Mon 10/09/17 19:06:06 <Tarkhnarb> ] Item Error: Item appears to be in log already (Charged Essence of Hatred, Database Error[2])
[Thu 10/12/17 12:23:44 <Tarkhnarb> ] Item Error: Item appears to be in log already (Orb of Corruption, Database Error[2])
[Thu 10/12/17 19:31:10 <Tarkhnarb> ] Item Error: Item appears to be in log already (Lion Branded Grand Charm, Token[4])
[Fri 10/13/17 19:51:57 <Tarkhnarb> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Fri 10/13/17 20:31:20 <Tarkhnarb> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 10/13/17 20:31:20 <Tarkhnarb> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 10/13/17 22:45:56 <Tarkhnarb> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 10/13/17 23:02:55 <Tarkhnarb> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 10/13/17 23:41:45 <Tarkhnarb> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Sat 10/14/17 01:47:32 <Tarkhnarb> ] Item Error: Item appears to be in log already (Orb of Corruption, Database Error[2])
